Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,mean_work_hours
55,0.0,2,1,1,4,4,1,26,0.0,1,6,1.0,67990,3.0,0,11,8,0,12.0,2,10,0,3,3,2.0,4.0,3.0,9.362002074688796
26,0.0,1,1,9,3,1,1,27,0.0,1,3,1.0,162910,1.0,0,22,8,0,5.0,3,5,3,3,4,1.0,1.0,3.0,10.977123430962344
37,0.0,2,2,5,1,2,1,28,1.0,1,6,2.0,27050,1.0,0,11,8,0,17.0,2,17,5,3,3,4.0,4.0,3.0,7.604444444444445
44,1.0,1,1,1,2,3,1,29,1.0,2,6,0.0,103330,3.0,0,14,8,1,19.0,2,1,0,2,3,4.0,3.0,1.0,10.97758573388203
38,0.0,2,2,2,3,2,1,30,0.0,1,3,0.0,44480,9.0,0,12,8,0,10.0,3,2,1,2,3,4.0,4.0,3.0,6.8312753623188405
26,1.0,2,1,4,3,3,1,31,1.0,3,6,0.0,68540,2.0,0,11,8,0,5.0,5,3,0,2,3,1.0,2.0,3.0,10.10940826330532
28,0.0,2,1,7,3,4,1,32,1.0,1,1,2.0,96370,1.0,0,13,8,0,5.0,6,5,0,2,3,4.0,4.0,3.0,6.709665977961433
49,0.0,1,1,1,1,3,1,33,0.0,2,6,2.0,35910,9.0,0,13,8,0,22.0,2,3,1,3,3,3.0,1.0,3.0,10.518214624881292
36,0.0,2,2,5,3,5,1,34,1.0,3,7,2.0,54050,4.0,0,14,8,0,10.0,2,8,7,3,3,3.0,2.0,3.0,6.182887517146776
31,0.0,1,1,9,4,3,1,35,1.0,1,7,0.0,46840,1.0,0,16,8,1,2.0,4,2,2,3,3,4.0,2.0,2.0,6.586388888888888
26,1.0,2,1,8,3,3,1,36,1.0,2,3,2.0,157870,1.0,0,12,8,2,8.0,5,8,7,3,3,4.0,4.0,3.0,10.272241379310344
37,0.0,1,2,9,1,2,1,37,1.0,1,2,1.0,15140,1.0,0,14,8,0,4.0,3,4,1,3,3,2.0,4.0,2.0,9.98273301193756
42,0.0,1,2,2,2,2,1,38,1.0,3,5,1.0,29560,5.0,0,13,8,0,23.0,2,20,4,3,3,3.0,2.0,4.0,5.979567632850242
18,1.0,2,1,1,4,1,1,39,1.0,1,7,2.0,23350,1.0,0,14,8,2,0.0,3,0,0,2,3,3.0,3.0,3.0,6.775967939304944
35,0.0,2,2,20,2,1,1,40,1.0,1,2,1.0,51540,0.0,0,19,8,0,12.0,2,11,6,2,3,3.0,2.0,2.0,7.690160390516039
36,0.0,1,1,8,3,4,1,41,0.0,3,7,1.0,69620,4.0,0,12,8,2,4.0,2,1,0,2,3,3.0,4.0,3.0,7.204732468123861
51,0.0,2,1,2,3,1,1,42,1.0,2,2,0.0,56750,5.0,0,13,8,0,13.0,2,4,1,2,3,4.0,2.0,3.0,7.5947695035461
41,0.0,2,1,29,1,1,1,43,1.0,1,2,2.0,23790,1.0,0,12,8,0,22.0,6,22,0,3,3,4.0,2.0,3.0,6.952642332415059
18,0.0,2,2,7,3,1,1,44,1.0,1,6,2.0,38120,1.0,0,15,8,0,0.0,3,0,0,3,3,4.0,3.0,3.0,7.0088784722222215
28,0.0,2,1,9,3,3,1,45,1.0,1,8,2.0,46480,0.0,0,23,8,2,9.0,2,8,0,2,4,2.0,1.0,3.0,7.201573315118397
31,0.0,2,1,8,1,5,1,46,1.0,1,4,1.0,29360,4.0,0,12,8,1,10.0,2,8,7,3,3,2.0,4.0,2.0,7.1728749999999994
39,0.0,2,2,5,4,2,1,47,0.0,2,1,0.0,21050,0.0,0,20,8,0,19.0,3,18,3,3,4,3.0,4.0,2.0,7.636801418439716
36,0.0,0,1,5,4,1,1,48,1.0,1,7,1.0,85780,7.0,0,21,8,0,11.0,4,9,0,3,4,2.0,2.0,3.0,7.83278129395218
32,0.0,2,2,2,3,2,1,49,1.0,2,2,1.0,27060,1.0,0,21,8,1,13.0,4,13,4,3,4,4.0,3.0,2.0,6.974765051395007
38,0.0,2,1,5,2,1,1,50,0.0,3,6,1.0,63840,3.0,0,19,8,2,19.0,4,10,0,2,3,1.0,2.0,3.0,6.906424220272905
58,0.0,0,1,2,3,1,1,51,1.0,2,4,0.0,39680,2.0,0,13,8,2,12.0,3,5,1,2,3,4.0,3.0,3.0,10.895463728191002
31,0.0,2,1,20,1,5,1,52,0.0,3,6,1.0,99070,0.0,0,13,8,1,6.0,3,5,0,2,3,3.0,4.0,3.0,9.12566572902016
31,0.0,2,2,7,4,2,1,53,1.0,2,7,1.0,132250,3.0,0,21,8,1,9.0,2,2,1,3,4,1.0,1.0,3.0,6.831459786145978
45,0.0,1,1,3,1,3,1,54,0.0,1,7,0.0,35400,1.0,0,13,8,0,24.0,6,24,9,3,3,1.0,1.0,3.0,7.3160499058380415
31,0.0,2,2,16,4,2,1,55,0.0,2,6,0.0,28040,0.0,0,19,8,2,3.0,0,2,2,3,3,3.0,4.0,1.0,8.610798041894355
33,0.0,1,1,9,3,1,1,56,1.0,4,5,1.0,193920,6.0,0,12,8,1,12.0,3,10,8,3,3,4.0,2.0,3.0,6.7848452883263
39,0.0,2,2,1,4,1,1,57,1.0,1,7,1.0,196650,1.0,0,22,8,1,21.0,6,21,11,3,4,3.0,1.0,3.0,10.98609977324263
43,0.0,1,1,7,4,3,1,58,1.0,4,6,2.0,24390,0.0,0,15,8,0,9.0,2,8,1,3,3,3.0,4.0,3.0,7.68658467939305
49,0.0,2,1,1,3,1,1,59,1.0,3,4,2.0,73140,7.0,0,22,8,0,25.0,2,7,0,3,4,3.0,3.0,3.0,9.948856881572931
52,1.0,2,1,7,1,1,1,60,0.0,2,6,1.0,47740,2.0,0,18,8,1,11.0,2,8,7,3,3,3.0,2.0,2.0,7.9055276615527665
27,0.0,2,1,15,4,3,1,61,1.0,3,6,2.0,39020,1.0,0,22,8,0,4.0,2,4,1,3,4,3.0,2.0,2.0,10.67241461748634
32,0.0,2,1,1,3,1,1,62,1.0,3,6,1.0,26620,1.0,0,11,8,1,13.0,6,13,11,4,3,3.0,2.0,3.0,10.496171548117156
27,0.0,2,1,13,2,3,1,63,0.0,4,5,2.0,28560,1.0,0,12,8,2,5.0,5,5,0,4,3,4.0,3.0,3.0,10.069261664261665
31,0.0,2,2,24,3,1,1,64,1.0,2,0,0.0,10810,4.0,0,11,8,3,13.0,4,7,1,4,3,4.0,4.0,3.0,6.607014174668495
32,0.0,2,1,7,3,5,1,65,1.0,2,0,2.0,24720,7.0,0,13,8,0,10.0,2,7,0,3,3,1.0,4.0,2.0,7.497914908579466
28,1.0,2,1,9,4,3,1,66,1.0,1,7,1.0,56730,5.0,0,14,8,1,5.0,4,3,2,2,3,1.0,4.0,2.0,10.727235717498877
30,0.0,2,1,13,3,1,1,67,0.0,4,5,1.0,41970,1.0,0,13,8,0,11.0,3,10,1,3,3,4.0,4.0,3.0,6.184816810344828
31,0.0,1,1,2,1,1,1,68,0.0,1,3,1.0,97130,1.0,0,17,8,0,10.0,5,10,8,2,3,3.0,3.0,3.0,6.609300048947627
39,1.0,2,1,1,1,3,1,70,0.0,1,2,1.0,42840,4.0,0,17,8,1,12.0,0,1,0,3,3,4.0,3.0,2.0,9.971745709123757
33,0.0,1,2,4,2,1,1,71,1.0,4,6,2.0,47880,3.0,0,11,8,1,9.0,0,7,0,3,3,2.0,4.0,2.0,7.42145202020202
47,0.0,2,1,4,3,1,1,72,0.0,2,0,1.0,59060,4.0,0,23,8,0,21.0,4,3,1,4,4,4.0,3.0,3.0,6.493810013717422
43,0.0,1,1,14,3,3,1,73,0.0,5,5,0.0,38860,1.0,0,17,8,2,9.0,2,9,0,3,3,3.0,3.0,4.0,6.299470449172577
27,0.0,0,1,2,3,1,1,74,1.0,1,5,1.0,168230,0.0,0,17,8,0,6.0,3,5,1,3,3,3.0,2.0,3.0,9.316973304473304
54,0.0,1,1,1,4,1,1,75,1.0,2,6,2.0,29330,3.0,0,12,8,2,20.0,2,4,0,3,3,4.0,3.0,2.0,6.097862787356322
43,0.0,2,1,7,2,1,1,76,0.0,2,3,1.0,65000,8.0,0,23,8,0,10.0,3,1,0,3,4,3.0,1.0,2.0,7.217327264239029
45,0.0,2,2,3,1,2,1,77,0.0,1,7,1.0,171740,9.0,0,14,8,1,12.0,6,10,9,3,3,4.0,4.0,3.0,7.100070018365472
40,0.0,2,1,2,4,4,1,78,1.0,4,6,1.0,50330,2.0,0,14,8,2,6.0,6,4,0,3,3,2.0,4.0,2.0,9.914107744107746
29,1.0,2,1,29,3,3,1,79,0.0,1,6,1.0,23070,1.0,0,13,8,1,7.0,0,7,0,3,3,2.0,1.0,2.0,10.477788647342997
29,0.0,2,0,8,3,3,1,80,1.0,3,8,2.0,25870,0.0,0,22,8,2,4.0,3,3,2,3,4,2.0,4.0,3.0,6.906938633193863
30,0.0,2,1,10,3,1,1,81,1.0,2,6,0.0,55070,1.0,0,12,8,2,10.0,2,10,1,2,3,4.0,3.0,3.0,7.589092432950192
27,0.0,2,1,11,2,3,1,82,1.0,1,3,1.0,43930,1.0,0,18,8,1,8.0,2,8,0,2,3,2.0,2.0,3.0,6.079724499089253
37,0.0,2,2,1,4,1,1,83,1.0,2,0,0.0,133480,7.0,0,14,8,0,8.0,4,6,0,3,3,4.0,4.0,2.0,6.001112288135593
38,0.0,2,1,28,4,3,1,84,1.0,1,2,0.0,65830,0.0,0,12,8,0,12.0,1,11,2,3,3,3.0,4.0,3.0,8.983123278236915
31,0.0,2,1,6,3,3,1,85,0.0,3,3,2.0,81030,1.0,0,15,8,1,11.0,5,11,4,3,3,3.0,4.0,3.0,10.426184640522875
29,0.0,2,1,3,4,1,1,86,1.0,3,7,0.0,39780,1.0,0,11,8,0,7.0,0,7,1,3,3,4.0,2.0,3.0,8.387526183970857
35,0.0,2,2,16,2,5,1,87,1.0,3,3,2.0,25440,0.0,0,13,8,1,17.0,3,16,0,4,3,3.0,2.0,3.0,7.9120386266094425
23,0.0,2,1,20,4,1,1,88,1.0,1,4,0.0,53990,1.0,0,23,8,0,4.0,2,4,0,2,4,3.0,4.0,2.0,7.105291842475387
41,0.0,2,1,9,2,1,1,89,0.0,1,2,2.0,54870,6.0,0,19,8,2,8.0,0,5,1,3,3,4.0,2.0,3.0,9.688633193863318
47,0.0,1,2,1,3,3,1,90,0.0,2,2,2.0,68340,3.0,0,16,8,1,5.0,2,0,0,4,3,2.0,3.0,3.0,7.770347512784752
42,0.0,2,1,3,4,1,1,91,1.0,1,3,2.0,10910,2.0,0,22,8,0,16.0,0,1,0,1,4,1.0,4.0,3.0,6.284280356305673
29,0.0,0,2,22,4,2,1,92,1.0,2,1,1.0,57360,1.0,0,22,8,0,4.0,1,4,0,2,4,4.0,3.0,2.0,6.306108726752504
42,0.0,2,2,7,4,3,1,93,1.0,3,6,0.0,22260,0.0,0,12,8,1,4.0,3,3,1,2,3,3.0,3.0,3.0,8.831585038986354
32,0.0,2,1,2,3,3,1,94,1.0,2,6,1.0,57470,1.0,0,13,8,0,8.0,0,8,0,3,3,3.0,2.0,3.0,7.722377344877344
48,0.0,2,2,13,4,3,1,95,1.0,4,7,1.0,98540,3.0,0,16,8,1,15.0,2,0,0,2,3,1.0,3.0,1.0,7.317479732951835
37,0.0,2,1,8,5,5,1,96,1.0,2,4,0.0,54670,4.0,0,12,8,0,13.0,2,7,6,3,3,3.0,1.0,3.0,10.798262483130904
30,0.0,0,2,25,4,4,1,97,1.0,1,0,1.0,53800,7.0,0,21,8,1,4.0,0,2,2,3,4,4.0,3.0,4.0,10.40136394557823
26,0.0,2,2,28,3,3,1,98,0.0,5,2,1.0,51510,1.0,0,15,8,3,8.0,3,8,7,3,3,3.0,3.0,3.0,5.994326703246456
42,0.0,2,2,2,2,3,1,99,0.0,1,2,2.0,21330,3.0,0,13,8,2,14.0,2,1,0,3,3,1.0,4.0,3.0,6.113110181311018
21,1.0,1,1,9,3,3,1,100,0.0,4,4,2.0,178750,1.0,0,12,8,0,3.0,5,3,1,2,3,1.0,2.0,3.0,8.133578096539162
36,0.0,0,0,28,3,0,1,101,1.0,2,2,2.0,24320,4.0,0,22,8,0,7.0,4,1,0,1,4,4.0,4.0,3.0,7.306164990421457
36,0.0,1,1,6,3,1,1,102,0.0,2,6,1.0,47710,4.0,0,13,8,1,16.0,2,13,1,3,3,1.0,4.0,3.0,7.105030345471522
57,0.0,2,1,21,4,1,1,103,1.0,5,6,1.0,191610,2.0,0,18,8,0,15.0,2,3,1,1,3,4.0,3.0,3.0,6.327729314420803
40,0.0,2,1,8,3,4,1,104,1.0,2,7,1.0,50870,3.0,0,14,8,1,10.0,3,7,1,3,3,4.0,3.0,3.0,8.128512160228897
21,0.0,0,1,1,5,1,1,105,0.0,2,3,2.0,28630,1.0,0,14,8,0,3.0,2,3,2,1,3,1.0,4.0,2.0,7.98643255701116
33,1.0,2,0,28,2,0,1,106,0.0,5,3,2.0,55610,1.0,0,21,8,1,1.0,3,1,0,1,4,4.0,3.0,3.0,10.509096921596921
37,0.0,2,1,5,3,1,1,107,1.0,4,6,1.0,21440,6.0,0,19,8,0,17.0,3,5,0,4,3,3.0,1.0,3.0,7.9932840307840305
46,0.0,0,2,2,4,2,1,108,0.0,2,2,1.0,30650,2.0,0,11,8,0,7.0,3,1,0,3,3,3.0,3.0,4.0,6.103653752436647
41,1.0,1,1,16,1,3,1,109,0.0,1,6,2.0,28100,1.0,0,11,8,0,8.0,3,8,7,4,3,1.0,2.0,3.0,7.587908917501192
50,0.0,2,1,9,3,3,1,110,0.0,3,2,2.0,98880,6.0,0,15,8,0,20.0,2,4,1,3,3,4.0,4.0,3.0,6.890321256038647
40,1.0,2,1,8,3,3,1,111,0.0,1,0,1.0,86280,2.0,0,20,8,0,8.0,2,6,1,2,4,3.0,3.0,3.0,9.295999525166192
31,0.0,2,1,1,3,1,1,112,1.0,4,1,2.0,28670,0.0,0,24,8,0,3.0,5,2,2,3,4,3.0,2.0,3.0,10.806078364950315
21,1.0,2,0,10,2,0,1,113,1.0,1,2,2.0,53730,1.0,0,12,8,1,1.0,2,1,0,3,3,3.0,2.0,3.0,5.995219806763284
29,0.0,2,1,1,3,1,1,114,0.0,2,5,2.0,66670,9.0,0,12,8,1,6.0,6,3,1,4,3,4.0,4.0,3.0,7.788609977324263
35,0.0,2,1,29,3,1,1,115,0.0,3,7,2.0,50030,9.0,0,15,8,0,10.0,2,1,0,3,3,3.0,2.0,3.0,7.717707156308851
27,0.0,2,2,2,3,1,1,116,1.0,1,7,0.0,23670,2.0,0,12,8,1,5.0,2,5,0,3,3,4.0,2.0,3.0,6.189450379867046
28,0.0,2,1,2,2,3,1,117,1.0,3,3,2.0,28580,1.0,0,12,8,0,7.0,2,7,0,2,3,2.0,4.0,3.0,7.120614224137931
49,0.0,2,2,2,3,5,1,118,1.0,2,4,2.0,52040,8.0,0,14,8,1,26.0,3,5,0,3,3,2.0,3.0,3.0,7.825193287037037
51,0.0,2,1,1,2,1,1,119,1.0,1,7,1.0,41050,4.0,0,22,8,1,18.0,2,7,0,3,4,3.0,4.0,2.0,7.619401803118908
36,0.0,2,2,15,2,1,1,120,1.0,1,7,1.0,96790,4.0,0,12,8,0,6.0,1,2,2,3,3,4.0,3.0,3.0,6.002463200379866
34,1.0,0,1,7,3,1,1,121,1.0,1,8,2.0,56170,8.0,0,25,8,1,9.0,3,5,0,3,4,1.0,4.0,2.0,9.113126477541371
55,0.0,2,2,26,3,2,1,122,1.0,1,2,2.0,104480,2.0,0,13,8,0,30.0,3,5,1,3,3,3.0,4.0,3.0,8.684139595103577
24,0.0,2,1,1,3,1,1,123,0.0,5,3,0.0,28970,1.0,0,18,8,3,5.0,4,5,0,3,3,4.0,3.0,4.0,9.993131642512079
30,0.0,2,1,3,3,1,1,124,0.0,2,3,1.0,59680,1.0,0,13,8,0,1.0,3,1,0,3,3,3.0,2.0,3.0,6.900539923039923
26,1.0,1,2,14,3,1,1,125,1.0,2,3,2.0,75100,0.0,0,18,8,3,7.0,3,6,0,3,3,3.0,4.0,3.0,6.999357638888889
22,0.0,2,1,16,5,4,1,126,1.0,1,6,1.0,29910,1.0,0,19,8,2,2.0,3,2,1,2,3,1.0,2.0,3.0,6.286230158730159
36,0.0,2,1,1,3,3,1,127,0.0,5,0,1.0,196360,1.0,0,12,8,1,10.0,3,10,9,3,3,2.0,3.0,3.0,6.366151129943503
30,1.0,1,2,3,2,2,1,128,1.0,3,6,2.0,11290,9.0,0,19,8,0,3.0,2,1,0,2,3,3.0,4.0,3.0,8.19166087962963
40,0.0,2,1,6,2,3,1,130,1.0,3,6,0.0,43320,7.0,0,14,8,2,8.0,3,5,1,2,3,4.0,2.0,3.0,6.682986714975845
42,0.0,2,1,2,3,3,1,131,0.0,4,3,0.0,110310,3.0,0,12,8,1,8.0,2,5,1,2,3,2.0,1.0,3.0,7.482647754137116
37,0.0,2,2,9,1,2,1,132,1.0,3,7,2.0,44400,2.0,0,11,8,1,18.0,3,1,0,2,3,3.0,2.0,2.0,9.920131519274376
43,0.0,2,2,10,2,1,1,133,0.0,1,7,0.0,46170,1.0,0,11,8,0,25.0,2,25,3,3,3,1.0,2.0,3.0,7.415638297872341
40,0.0,2,2,6,2,1,1,134,0.0,1,2,1.0,26470,6.0,0,13,8,0,20.0,2,1,0,2,3,2.0,3.0,3.0,7.4953384687208215
54,0.0,2,0,9,3,1,1,135,0.0,2,4,1.0,63230,4.0,0,23,8,1,24.0,2,4,1,2,4,1.0,1.0,2.0,5.998969652471855
34,0.0,0,1,28,3,3,1,136,1.0,1,2,1.0,56770,9.0,0,20,8,1,6.0,3,3,1,3,4,3.0,3.0,3.0,6.859545346628679
31,0.0,2,1,10,4,1,1,137,1.0,3,7,1.0,21870,1.0,0,15,8,1,13.0,2,13,3,2,3,2.0,1.0,1.0,6.131909722222222
43,0.0,1,2,14,3,1,1,138,0.0,1,4,1.0,37480,7.0,0,14,8,2,14.0,3,3,1,2,3,4.0,4.0,3.0,7.67480543318649
43,0.0,2,2,27,4,1,1,139,1.0,2,8,0.0,39770,4.0,0,18,8,1,8.0,3,5,0,3,3,3.0,3.0,3.0,8.878969421101774
25,0.0,2,0,7,2,0,1,140,1.0,1,4,2.0,86330,1.0,0,19,8,1,5.0,2,5,1,4,3,2.0,4.0,3.0,10.895845306513408
37,0.0,0,1,1,3,3,1,141,1.0,3,2,1.0,20080,3.0,0,22,8,0,15.0,5,13,10,2,4,2.0,3.0,3.0,10.692001669051026
31,0.0,2,1,24,1,3,1,142,1.0,3,2,1.0,44400,1.0,0,13,8,1,4.0,2,4,3,3,3,4.0,1.0,3.0,7.060316091954022
39,0.0,1,1,26,4,5,1,143,0.0,1,7,0.0,30670,1.0,0,20,8,1,21.0,5,21,1,1,4,2.0,3.0,3.0,9.009179138321997
30,0.0,2,2,5,4,3,1,145,0.0,2,4,2.0,54100,0.0,0,17,8,1,6.0,2,5,4,3,3,2.0,3.0,3.0,7.585973922902494
41,0.0,2,1,7,3,5,1,146,0.0,3,6,1.0,27820,1.0,0,14,8,0,10.0,2,10,0,2,3,2.0,1.0,3.0,6.624136698939603
28,0.0,2,1,7,3,3,1,147,1.0,3,0,0.0,119570,1.0,0,13,8,0,10.0,2,10,1,2,3,3.0,1.0,3.0,6.192764830508475
25,1.0,2,1,5,2,1,1,148,0.0,3,2,1.0,26600,5.0,0,13,8,0,6.0,3,2,0,3,3,1.0,1.0,3.0,6.472303436911487
52,0.0,2,1,26,2,1,1,149,0.0,2,8,1.0,33750,2.0,0,21,8,0,28.0,2,5,0,2,4,4.0,3.0,3.0,8.195051440329218
45,0.0,2,1,2,3,3,1,150,0.0,1,7,1.0,50980,3.0,0,14,8,1,8.0,4,2,0,3,3,1.0,4.0,2.0,6.787695733708391
52,0.0,2,1,12,3,3,1,151,1.0,2,6,1.0,48780,2.0,0,11,8,1,31.0,3,5,1,3,3,4.0,4.0,1.0,7.3021394799054375
42,0.0,1,2,10,3,2,1,152,0.0,2,0,0.0,28370,2.0,0,13,8,1,19.0,0,5,0,2,3,1.0,3.0,3.0,6.822407010014307
30,0.0,2,2,25,3,2,1,153,1.0,1,7,2.0,24060,2.0,0,20,8,1,11.0,5,5,0,3,4,3.0,4.0,3.0,7.322458937198067
46,0.0,2,2,19,4,2,1,155,0.0,1,7,0.0,41080,2.0,0,14,8,0,19.0,5,10,0,2,3,3.0,3.0,2.0,7.610284810126583
42,0.0,1,1,18,4,5,1,156,1.0,4,7,1.0,132060,0.0,0,13,8,2,7.0,2,6,0,3,3,4.0,4.0,4.0,6.5951353874883285
24,1.0,2,1,27,2,3,1,157,1.0,1,6,2.0,104220,1.0,0,17,8,1,6.0,0,5,1,2,3,1.0,2.0,3.0,10.648925376647831
34,1.0,1,1,5,3,3,1,158,1.0,2,6,0.0,137440,0.0,0,20,8,1,3.0,3,2,1,3,4,4.0,3.0,2.0,6.20442731277533
38,0.0,1,2,3,3,2,1,159,0.0,2,7,1.0,49070,1.0,0,11,8,1,1.0,3,1,0,3,3,4.0,4.0,3.0,8.591902250351618
40,0.0,2,2,26,4,2,1,160,0.0,1,7,1.0,34820,0.0,0,18,8,1,21.0,2,20,1,2,3,3.0,3.0,3.0,6.001353864734299
26,0.0,2,1,3,2,3,1,161,0.0,4,0,0.0,24360,1.0,0,24,8,0,3.0,2,3,0,4,4,1.0,4.0,1.0,6.281751101321586
30,0.0,0,1,15,3,3,1,162,0.0,2,7,1.0,23800,4.0,0,18,8,3,9.0,2,5,1,2,3,3.0,4.0,1.0,7.9055698005698
29,0.0,2,1,8,3,3,1,163,0.0,3,4,1.0,194310,1.0,0,11,8,0,10.0,3,10,0,3,3,2.0,3.0,3.0,7.175699035812672
29,1.0,2,1,19,4,1,1,164,1.0,3,6,1.0,17900,5.0,0,16,8,1,6.0,4,2,1,2,3,3.0,2.0,4.0,6.651255274261603
19,1.0,2,1,4,3,3,1,165,1.0,1,7,2.0,76440,1.0,0,15,8,2,1.0,2,1,0,3,3,1.0,4.0,4.0,7.906068376068376
30,0.0,0,1,2,4,1,1,166,0.0,3,6,1.0,51310,0.0,0,15,8,1,10.0,2,9,7,3,3,3.0,1.0,3.0,6.718815667131566
57,0.0,2,1,2,2,1,1,167,1.0,4,6,0.0,63060,3.0,0,12,8,1,32.0,3,1,0,3,3,1.0,4.0,2.0,6.290588023088024
30,0.0,0,2,10,2,1,1,169,1.0,3,2,2.0,188800,0.0,0,22,8,1,12.0,3,11,6,3,4,3.0,4.0,2.0,6.286431712962963
47,0.0,2,1,1,3,5,1,171,1.0,5,4,0.0,135700,5.0,0,16,8,2,20.0,2,5,0,2,3,1.0,4.0,3.0,7.809089371980676
46,0.0,2,2,4,1,5,1,172,1.0,1,2,1.0,67120,6.0,0,21,8,1,26.0,3,3,0,2,4,1.0,3.0,1.0,6.805152662993573
35,0.0,2,1,15,2,3,1,173,0.0,2,2,2.0,54060,0.0,0,12,8,1,6.0,2,5,4,3,3,4.0,3.0,3.0,6.484045584045584
54,0.0,2,1,2,4,3,1,174,1.0,2,1,2.0,89380,7.0,0,11,8,3,19.0,2,1,0,3,3,3.0,3.0,3.0,7.651214845550945
